"","Barn [kW]","Dishwasher [kW]","Fridge [kW]","Furnace 1 [kW]","Furnace 2 [kW]","Garage door [kW]","Home office [kW]","Kitchen 12 [kW]","Kitchen 14 [kW]","Kitchen 38 [kW]","Living room [kW]","Microwave [kW]","Well [kW]","Wine cellar [kW]","dewPoint","gen [kW]","humidity","precipIntensity","precipProbability","pressure","temperature","use [kW]","visibility","windBearing","windSpeed"
"Barn [kW]",1.0,-0.004712096296512343,0.014184530531227198,0.0027014616840216506,-0.0058057387761619,0.009710872945083502,-0.03393565158691707,0.0006258282888037186,-0.008111055309065706,-0.0007800843869007439,0.010593606464523666,-0.0068450045103918946,-0.003971842412687316,-0.00019365555360056097,-0.025076695336600615,0.025773086575950815,0.009066477656812413,-0.005745968884939471,-0.0036466323293920977,0.005293285816881698,-0.019809887454157973,0.3841587057727295,3.840731061734594e-05,0.007757412524891224,-0.010819457180014576
"Dishwasher [kW]",-0.004712096296512343,1.0,0.024310749742762434,0.0008029880573708822,-0.002857076378686851,-0.016158920763639603,0.05920485470994916,0.012545541686240747,-0.006965024527685471,-0.01137868373858478,0.0024506535938840315,0.0005459081654151632,0.024389144645668215,-0.008890074456077028,-0.017743493408135677,0.026723906608801123,0.0031471125269502574,0.013127331145566558,0.007733686298099711,0.0006239076320317592,-0.011043750229898185,0.4136945034520755,-0.012885780251093399,0.010749714379542053,-0.0016841838149728422
"Fridge [kW]",0.014184530531227198,0.024310749742762434,1.0,-0.039869618510913134,-0.02688472391353249,-0.016091526690639773,0.01283013580779825,0.013790696975619752,-0.009563081780349392,-0.018404829211165895,0.05767032750127298,0.03369343789438755,0.012209515628035749,0.05809655812991821,0.1065893590463387,-0.00824376646888357,0.028866179022378407,0.027976722259359155,0.008763583639101574,-0.018645084219698592,0.09023293918623436,0.1800090837746326,0.0071273453892673365,-0.017710170330583145,-0.01614132641119782
"Furnace 1 [kW]",0.0027014616840216506,0.0008029880573708822,-0.039869618510913134,1.0,0.21286472466480671,-0.018946885206449,-0.008759140066165873,0.021527122758133316,0.007966564519684098,0.035553487226072746,0.0628943584816561,-0.0010129161833872709,0.008903494753025872,-0.09584924781759657,-0.26183806536555393,-0.020889070119438292,-0.03207041019405124,-0.013324311520538755,-0.007981670232095473,0.002212660518113415,-0.2603230281466179,0.4264808323492624,-0.03950040175743666,0.02905358351785904,0.0680414477139018
"Furnace 2 [kW]",-0.0058057387761619,-0.002857076378686851,-0.02688472391353249,0.21286472466480671,1.0,-0.00025011320821154197,-0.006117248617585221,0.011417397421791648,0.008170940849314585,0.11216069657455062,0.02358585877744478,0.013589297402798784,-0.004351410355301343,-0.04241366645548003,-0.18964715292444814,-0.0939957022541403,-0.03493380740981313,0.011986029656280081,0.007658069143058023,-0.001879578684977025,-0.19207318096160253,0.44768188080949245,-0.012038241394098172,0.009178454456887634,0.05793111875607807
"Garage door [kW]",0.009710872945083502,-0.016158920763639603,-0.016091526690639773,-0.018946885206449,-0.00025011320821154197,1.0,-0.00625373063411232,-0.0009443207087888703,0.015327953321639562,-0.01408488146464932,0.0059031446305125804,0.003829202498930065,-0.008645238449406473,0.010541366486056645,0.0073815237114316454,0.03626849788467459,0.016704057998345397,-0.010686139455546036,-0.013891073392391713,0.01558649984693411,0.003949567044283301,0.010391667234776624,0.0007117516610306363,-0.0028025859549895555,-0.016102562883961512
"Home office [kW]",-0.03393565158691707,0.05920485470994916,0.01283013580779825,-0.008759140066165873,-0.006117248617585221,-0.00625373063411232,1.0,-0.00546160567093143,0.009701134119531251,0.011978549517627012,-0.04027797823312118,-0.004176957623247229,-0.013016273071502622,0.0032540231308967405,0.005993749047641656,-0.07272399497733904,-0.0023569497491110823,-0.024641200740248188,-0.028139878217752802,0.026160361733736627,0.00908023653364439,0.21346905731859842,0.011046701331679157,0.011471128153831976,-0.01704432433816295
"Kitchen 12 [kW]",0.0006258282888037186,0.012545541686240747,0.013790696975619752,0.021527122758133316,0.011417397421791648,-0.0009443207087888703,-0.00546160567093143,1.0,0.004138599796181294,-0.003798008503224107,0.0398168385951348,0.024128456142090273,0.0005810849552756601,0.003295501667590878,-0.01238805089723848,7.175266232277533e-05,0.028111937454401287,-0.014329791194317125,-0.012064110990472608,0.011910379150199189,-0.014946914111038571,0.08404225623774267,-0.02835245499159609,-0.01342582104379755,-0.024950073418487304
"Kitchen 14 [kW]",-0.008111055309065706,-0.006965024527685471,-0.009563081780349392,0.007966564519684098,0.008170940849314585,0.015327953321639562,0.009701134119531251,0.004138599796181294,1.0,0.08590357400661648,0.048510176732094554,0.003441406558015549,0.00979081910971896,-0.014086061825053389,-0.022632073929950564,0.0017297057506597462,-0.010146290809597914,-0.008726424434869089,-0.008982838265931804,0.009495077733357194,-0.02544260644651998,0.17548211023948224,0.017352415007522676,0.00945940416837516,-0.002194614560328275
"Kitchen 38 [kW]",-0.0007800843869007439,-0.01137868373858478,-0.018404829211165895,0.035553487226072746,0.11216069657455062,-0.01408488146464932,0.011978549517627012,-0.003798008503224107,0.08590357400661648,1.0,0.008360191118932747,0.00357771327641791,-0.008017078751299391,-0.021082954714597535,-0.04130192751736141,0.007424348301264891,-0.020675270735454724,-0.021440090457251457,-0.01594178490857975,-0.011627743082570988,-0.03546410057080635,0.05764925391302219,0.00797380270698796,0.0007530834834049814,0.017833677066757918
